Date,Time,NO2_BR,Lat_BR,Lon_BR,NO2_DG,Lat_DG,Lon_DG,NO2_T,Lat_T,Lon_T
2023-01-06,16:00:00,56.98516,53.40495,-1.455815,26.93743,53.378622,-1.478096,36.28009,53.41058,-1.396139
2023-01-06,17:00:00,57.56473,53.40495,-1.455815,29.1134,53.378622,-1.478096,32.07014,53.41058,-1.396139
2023-01-06,18:00:00,56.82283,53.40495,-1.455815,32.5897,53.378622,-1.478096,30.08475,53.41058,-1.396139
2023-01-06,19:00:00,51.31016,53.40495,-1.455815,33.62914,53.378622,-1.478096,24.43638,53.41058,-1.396139
2023-01-06,20:00:00,45.53726,53.40495,-1.455815,28.38876,53.378622,-1.478096,18.64724,53.41058,-1.396139
2023-01-06,21:00:00,43.04899,53.40495,-1.455815,32.27963,53.378622,-1.478096,18.59562,53.41058,-1.396139
2023-01-06,22:00:00,35.90301,53.40495,-1.455815,31.4547,53.378622,-1.478096,15.72814,53.41058,-1.396139
2023-01-06,23:00:00,31.74211,53.40495,-1.455815,17.44001,53.378622,-1.478096,8.06288,53.41058,-1.396139
2023-01-06,24:00:00,18.88984,53.40495,-1.455815,9.2419,53.378622,-1.478096,5.04655,53.41058,-1.396139
2023-01-07,01:00:00,8.7255,53.40495,-1.455815,8.66184,53.378622,-1.478096,3.16819,53.41058,-1.396139
2023-01-07,02:00:00,8.92239,53.40495,-1.455815,7.48404,53.378622,-1.478096,2.52503,53.41058,-1.396139
2023-01-07,03:00:00,5.24462,53.40495,-1.455815,6.59933,53.378622,-1.478096,2.07914,53.41058,-1.396139
2023-01-07,04:00:00,4.99496,53.40495,-1.455815,5.50742,53.378622,-1.478096,1.68361,53.41058,-1.396139
2023-01-07,05:00:00,3.39627,53.40495,-1.455815,4.05081,53.378622,-1.478096,1.8817,53.41058,-1.396139
2023-01-07,06:00:00,4.79437,53.40495,-1.455815,3.99851,53.378622,-1.478096,2.72312,53.41058,-1.396139
2023-01-07,07:00:00,9.44114,53.40495,-1.455815,4.77727,53.378622,-1.478096,3.66358,53.41058,-1.396139
2023-01-07,08:00:00,18.03188,53.40495,-1.455815,7.3221,53.378622,-1.478096,4.25719,53.41058,-1.396139
2023-01-07,09:00:00,16.83244,53.40495,-1.455815,7.84255,53.378622,-1.478096,5.93977,53.41058,-1.396139
2023-01-07,10:00:00,18.63754,53.40495,-1.455815,11.3224,53.378622,-1.478096,7.91922,53.41058,-1.396139
2023-01-07,11:00:00,16.48752,53.40495,-1.455815,11.63365,53.378622,-1.478096,8.26607,53.41058,-1.396139
