0,1,2,3
7.0,115.0,2570.0,3840.0
7.0,116.0,3168.0,2830.0
7.0,117.0,1120.0,137.0
7.0,118.0,3702.0,352.0
7.0,121.0,3141.0,2966.0
7.0,122.0,3931.0,2024.0
7.0,123.0,875.0,682.0
7.0,125.0,799.0,720.0
7.0,128.0,2570.0,2021.0
7.0,129.0,1128.0,1846.0
7.0,130.0,1129.0,601.0
7.0,131.0,1126.0,3956.0
7.0,132.0,1117.0,3203.0
7.0,133.0,1123.0,3821.0
7.0,134.0,195.0,476.0
7.0,135.0,3186.0,3908.0
7.0,137.0,3218.0,3680.0
7.0,138.0,3311.0,1710.0
7.0,139.0,196.0,2761.0
7.0,140.0,1123.0,3254.0
7.0,141.0,3157.0,237.0
7.0,143.0,1315.0,2564.0
7.0,144.0,3304.0,542.0
7.0,145.0,204.0,1716.0
7.0,146.0,2574.0,255.0
7.0,147.0,3702.0,337.0
7.0,149.0,1119.0,2049.0
7.0,151.0,3218.0,86.0
7.0,153.0,3211.0,2769.0
7.0,154.0,3250.0,1640.0
7.0,156.0,3681.0,829.0
7.0,157.0,204.0,2545.0
7.0,158.0,2777.0,249.0
7.0,160.0,3589.0,491.0
7.0,163.0,875.0,2077.0
7.0,164.0,1119.0,678.0
