osmid,osmid_original,y,x,street_count,LSOA,LSOA_Lon,LSOA_Lat,PWC_Distance,NodeID,lon,lat,osmid_Old,NodeID_New,ref,highway,geometry
195,1707817988,53.47957470000001,-1.5791582999999991,3,E01008143,-1.5731865031074546,53.477596397664385,0.006290948915459191,195,-1.5791583,53.4795747,200,195,,,POINT (-1.5791582999999991 53.47957470000001)
196,247488437,53.47587759999999,-1.5774412,3,E01008143,-1.5731865031074546,53.477596397664385,0.004588759206859963,196,-1.5774412,53.4758776,201,196,,,POINT (-1.5774412 53.47587759999999)
197,361444594,53.48035599999999,-1.5815780999999998,3,E01008144,-1.5921036556059867,53.480551700185764,0.010527374761896966,197,-1.5815781,53.480356,202,197,,,POINT (-1.5815780999999998 53.48035599999999)
198,"[2873511834, 2873511835, 361445384, 1707818343, 1707818277]",53.482342378787685,-1.5896110035374846,0,E01008144,-1.5921036556059867,53.480551700185764,0.0030691764677166027,198,,,203,198,,,POINT (-1.5896110035374846 53.482342378787685)
199,522705237,53.4771313,-1.5776750000000004,3,E01008143,-1.5731865031074546,53.477596397664385,0.004512529245534346,199,-1.577675,53.4771313,204,199,,,POINT (-1.5776750000000004 53.4771313)
200,361438161,53.4717538,-1.5834935,3,E01008142,-1.5828984034136906,53.477546740140596,0.00582342643291265,200,-1.5834935,53.4717538,205,200,,,POINT (-1.5834935 53.4717538)
201,25920153,53.478891499999996,-1.5658439000000002,3,E01008143,-1.5731865031074546,53.477596397664385,0.007455944638563599,201,-1.5658439,53.4788915,206,201,,,POINT (-1.5658439000000002 53.478891499999996)
202,"[392496120, 1744684004]",53.457524450000754,-1.554072400014232,0,E01008147,-1.5779396888439712,53.472266827673046,0.028053256059050853,202,,,207,202,,,POINT (-1.554072400014232 53.457524450000754)
203,5609898767,53.42246779999999,-1.5209502999999998,3,E01033280,-1.5313218794702415,53.43007408284501,0.012861772794830263,203,-1.5209503,53.4224678,208,203,,,POINT (-1.5209502999999998 53.42246779999999)
204,320049759,53.42623699999999,-1.5382342999999998,3,E01008126,-1.5398796273921318,53.42707328770832,0.0018456650179221404,204,-1.5382343,53.426237,209,204,,,POINT (-1.5382342999999998 53.42623699999999)
205,"[1732249018, 1732249023, 1732248903]",53.432802402879545,-1.534567382891289,0,E01008140,-1.538970196824769,53.435277834174045,0.0050509930337146,205,,,210,205,,,POINT (-1.534567382891289 53.432802402879545)
206,"[9010987027, 550308927, 9010987028, 8715472620, 8715472622]",53.410195084054,-1.5015028852714327,0,E01008093,-1.4987266637384804,53.404365837638544,0.006456587316235244,206,,,211,206,,,POINT (-1.5015028852714327 53.410195084054)
207,"[149827725, 26711971, 726643816, 726643814, 726643823, 726643826, 3070040347, 3070040349, 251230334]",53.37834689285258,-1.4541237515976644,0,E01007879,-1.4536529801574924,53.37663353473912,0.0017768572744739262,207,,,212,207,,,POINT (-1.4541237515976644 53.37834689285258)
208,"[4265357537, 3358645887, 4265357540, 4265357529, 4265357545, 6831220549, 4265357547, 4265357536]",53.48333739620336,-1.5774875631954257,0,E01008144,-1.5921036556059867,53.480551700185764,0.01487918881043289,208,,,213,208,,,POINT (-1.5774875631954257 53.48333739620336)
209,708112366,53.463746,-1.5765621,3,E01008147,-1.5779396888439712,53.472266827673046,0.008631468893344395,209,-1.5765621,53.463746,214,209,,,POINT (-1.5765621 53.463746)
210,"[252347963, 361444591, 2873511858]",53.48044753375295,-1.5857842329063074,0,E01008144,-1.5921036556059867,53.480551700185764,0.006320281156953855,210,,,215,210,,,POINT (-1.5857842329063074 53.48044753375295)
211,"[558558004, 361438401]",53.47896320001414,-1.60015415007238,0,E01008145,-1.5982031057990775,53.477758740391295,0.002292879573692575,211,,,216,211,,,POINT (-1.60015415007238 53.47896320001414)
