Actual,Partial_Dep,Density,Partial,CriticalDensity,Capacity,TT,Pred
12.245,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
13.29,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
10.14,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
14.825,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
25.61,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
15.855,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
9.670000000000002,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
11.585,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
16.1,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
14.58,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
16.5,15.274692460642775,5.5,0.04375726641954358,125,2450,0.9316775424357762,0.077
13.54,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
21.16,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
15.815,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
14.250000000000002,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
15.76,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
12.04,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
11.77,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
12.47,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
13.355,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
14.67,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
18.295,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
17.98,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
10.415,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
13.35,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
8.65,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
11.795,15.271218761731074,5.625,0.04028356750784212,125,2450,0.9316775917022514,0.07875
11.665,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
14.905,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
11.43,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
16.565,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
13.29,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
12.015,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
15.675,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
16.625,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
14.46,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
14.239999999999998,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
14.420000000000002,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
13.05,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
16.27,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
12.63,15.270362385792476,5.75,0.0394271915692439,125,2450,0.9316776443649688,0.0805
12.915,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
11.845,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
13.34,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
12.275,15.269822073322178,5.875,0.03888687909894628,125,2450,0.9316777005765371,0.08225
