Density,NO2
9.870000000000001,0.13520314949159654
9.88,0.1353401334323175
9.89,0.13547711737303847
9.9,0.13561410131375942
9.91,0.1357510852544804
9.92,0.13588806919520136
9.93,0.1360250531359223
9.94,0.1361620370766433
9.950000000000001,0.13629902101736427
9.96,0.13643600495808525
9.97,0.1365729888988062
9.98,0.13670997283952718
9.99,0.13684695678024814
10,0.13698394072096912
10.01,0.13712092466169007
10.02,0.13725790860241105
10.03,0.137394892543132
10.040000000000001,0.137531876483853
10.05,0.13766886042457396
10.06,0.13780584436529494
10.07,0.1379428283060159
10.08,0.13807981224673685
10.09,0.13821679618745783
10.1,0.13835378012817878
10.11,0.13849076406889976
10.120000000000001,0.13862774800962074
10.13,0.13876473195034172
10.14,0.13890171589106268
10.15,0.13903869983178366
10.16,0.1391756837725046
10.17,0.1393126677132256
10.18,0.13944965165394654
10.19,0.13958663559466752
10.200000000000001,0.1397236195353885
10.21,0.13986060347610949
10.22,0.13999758741683044
10.23,0.14013457135755142
10.24,0.14027155529827237
10.25,0.14040853923899332
10.26,0.1405455231797143
